FORMULA	FIXEDMASS
C7H6F7N3O	281.0399094
C9H10F7NO	281.0650615
C3HClF6O4S	281.9188265
C3HF7O5S	281.9432917
C5ClF9O	281.9493963
C5ClF9O	281.9493963
C4H2F8O3S	281.9596907
C5F10O2	281.9738614
C5F10O2	281.9738614
C7H2ClF7N2	281.9794733
C6HF11	281.9902605
C6HF11	281.9902605
C5H3F9O3	281.9938479
C7H5F7N2O2	282.0239249
C9H9F7O2	282.0490771
C9H9F7O2	282.0490771
C8H9F7N2O	282.0603104
C10H13F7O	282.0854626
C9H14F6NO2	282.0923244
C11H17F7	282.1218481
C4H2F9NOS	282.9713387
C5F11N	282.9855094
C7H10F5NO3S	283.0301553
C8H8F7NO2	283.044326
C8H8F7NO2	283.044326
C9H12F7NO	283.0807115
C4HF9O2S	283.9553543
C7H9F5O4S	284.0141709
C8H7F7O3	284.0283416
C7H13F5N2O2S	284.0617898
C7H13F5N2O2S	284.0617898
C9H11F7O2	284.0647271
C10H12F8	284.0811261
C10H12F8	284.0811261
C6F9N3	284.994851
C5H2F11N	285.0011595
C6H8F5NO4S	285.0094198
C7H6F7NO3	285.0235906
C11H6F7N	285.0388467
C7H12F5NO3S	285.0458053
C8H10F7NO2	285.0599761
C8H10F7NO2	285.0599761
C9H16F7N2	285.1196225
C4ClF9O2	285.9443109
C5HF11O	285.9851751
C8H6F8O2	286.0240052
C10H5F7N2	286.0340957
C10H5F7N2	286.0340957
C10H5F7N2	286.0340957
C8H9F7O3	286.0439917
C8H9F7O3	286.0439917
C8H9F7O3	286.0439917
C10H4F7NO	287.0181113
C9H4F7N3	287.0293447
C7H8F7NO3	287.0392407
C11H8F7N	287.0544968
C6F8O4	287.9668842
C7H4ClF7O2	287.9788046
C5F12	287.9808386
C5F12	287.9808386
C5F12	287.9808386
C7HF9O2	287.9832833
C6H10F5O3PS	288.0008429
C7H4F8O3	288.0032697
C6H4F8N2O2	288.0145031
C7H7F7O4	288.0232562
C8H3F7N4	288.0245936
C11H7F7O	288.0385124
C11H7F7O	288.0385124
C11H7F7O	288.0385124
C11H7F7O	288.0385124
C8H8F8O2	288.0396553
C9H9F9	288.0560543
C8H11F7O3	288.0596418
C9H14F8N	288.0993016
C10H6F7NO	289.0337614
C10H6F7NO	289.0337614
C11H10F7N	289.0701469
C11H10F7N	289.0701469
C11H10F7N	289.0701469
C6H2F8O4	289.9825343
C7H3F9O2	289.9989333
C7H3F9O2	289.9989333
C7H3F9O2	289.9989333
C6H8F6O4S	290.0047491
C10H5F7O2	290.0177769
C10H5F7O2	290.0177769
C10H5F7O2	290.0177769
C10H5F7O2	290.0177769
C9H5F7N2O	290.0290103
C8H7F9O	290.0353188
C8H7F9O	290.0353188
C8H7F9O	290.0353188
C8H7F9O	290.0353188
C11H9F7O	290.0541624
C9H11F9	290.0717043
C6H2F9NO2	290.9941823
C9H4F7NO2	291.0130259
C9H4F7NO2	291.0130259
C9H4F7NO2	291.0130259
C9H4F7NO2	291.0130259
C7H6F9NO	291.0305678
C10H8F7NO	291.0494114
C10H8F7NO	291.0494114
C6HF9O3	291.9781979
C6H4F8O4	291.9981844
C6H7F7O3S	292.0004126
C7H5F9O2	292.0145834
C7H5F9O2	292.0145834
C7H5F9O2	292.0145834
C10H7F7O2	292.033427
C8H9F9O	292.0509689
C3HF6NO4S2	292.9251188
